x [mm], y [mm], u [m/s], v [m/s]
5.500000000000000000e+01, -9.500000000000000000e+01, 9.152891159057617188e+00, -1.935364305973052979e-01
6.500000000000000000e+01, -9.500000000000000000e+01, 9.483265876770019531e+00, -3.397209942340850830e-01
7.500000000000000000e+01, -9.500000000000000000e+01, 9.817688941955566406e+00, -3.107396066188812256e-01
8.500000000000000000e+01, -9.500000000000000000e+01, 1.010680866241455078e+01, -1.933710128068923950e-01
9.500000000000000000e+01, -9.500000000000000000e+01, 1.026243686676025391e+01, -8.222959935665130615e-02
1.050000000000000000e+02, -9.500000000000000000e+01, 1.025578308105468750e+01, -1.042127609252929688e-02
1.150000000000000000e+02, -9.500000000000000000e+01, 1.019733333587646484e+01, 7.548911869525909424e-02
1.250000000000000000e+02, -9.500000000000000000e+01, 1.008687400817871094e+01, 1.241711974143981934e-01
1.350000000000000000e+02, -9.500000000000000000e+01, 1.013461971282958984e+01, 4.545694217085838318e-02
1.450000000000000000e+02, -9.500000000000000000e+01, 1.035431289672851562e+01, -1.168980747461318970e-01
1.550000000000000000e+02, -9.500000000000000000e+01, 1.061594581604003906e+01, -2.618999481201171875e-01
1.650000000000000000e+02, -9.500000000000000000e+01, 1.078524875640869141e+01, -3.895337283611297607e-01
1.750000000000000000e+02, -9.500000000000000000e+01, 1.062047863006591797e+01, -5.070206522941589355e-01
1.850000000000000000e+02, -9.500000000000000000e+01, 1.046116352081298828e+01, -5.814117789268493652e-01
1.950000000000000000e+02, -9.500000000000000000e+01, 1.044051265716552734e+01, -5.695093274116516113e-01
-1.950000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.850000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.750000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.650000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.550000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.450000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -8.500000000000000000e+01, 8.816841125488281250e+00, -3.992856740951538086e-01
-9.500000000000000000e+01, -8.500000000000000000e+01, 8.876624107360839844e+00, -3.626778423786163330e-01
-8.500000000000000000e+01, -8.500000000000000000e+01, 8.778848648071289062e+00, -3.222729563713073730e-01
-7.500000000000000000e+01, -8.500000000000000000e+01, 8.956008911132812500e+00, -1.818027049303054810e-01
-6.500000000000000000e+01, -8.500000000000000000e+01, 9.547114372253417969e+00, -9.592323005199432373e-02
-5.500000000000000000e+01, -8.500000000000000000e+01, 1.033291435241699219e+01, 3.667435050010681152e-02
