x [mm], y [mm], u [m/s], v [m/s]
-1.950000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.850000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.750000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.650000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.550000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.450000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -9.500000000000000000e+01, nan, nan
-9.500000000000000000e+01, -9.500000000000000000e+01, nan, nan
-8.500000000000000000e+01, -9.500000000000000000e+01, nan, nan
-7.500000000000000000e+01, -9.500000000000000000e+01, 1.017253971099853516e+01, -8.243656754493713379e-01
-6.500000000000000000e+01, -9.500000000000000000e+01, nan, nan
-5.500000000000000000e+01, -9.500000000000000000e+01, nan, nan
-4.500000000000000000e+01, -9.500000000000000000e+01, nan, nan
-3.500000000000000000e+01, -9.500000000000000000e+01, 1.038946151733398438e+01, -7.987146377563476562e-01
-2.500000000000000000e+01, -9.500000000000000000e+01, 1.057273864746093750e+01, -1.006711840629577637e+00
-1.500000000000000000e+01, -9.500000000000000000e+01, 1.054607009887695312e+01, -9.870784282684326172e-01
-5.000000000000000000e+00, -9.500000000000000000e+01, 1.025812435150146484e+01, 4.151007533073425293e-01
5.000000000000000000e+00, -9.500000000000000000e+01, 1.022265052795410156e+01, 3.599539399147033691e-01
1.500000000000000000e+01, -9.500000000000000000e+01, 1.018592739105224609e+01, 3.195108175277709961e-01
2.500000000000000000e+01, -9.500000000000000000e+01, 1.014988136291503906e+01, 2.723865211009979248e-01
3.500000000000000000e+01, -9.500000000000000000e+01, 1.014696216583251953e+01, 2.429671287536621094e-01
4.500000000000000000e+01, -9.500000000000000000e+01, 1.015291786193847656e+01, 1.893083006143569946e-01
5.500000000000000000e+01, -9.500000000000000000e+01, 1.035492897033691406e+01, 1.994853094220161438e-02
6.500000000000000000e+01, -9.500000000000000000e+01, 1.045412445068359375e+01, -5.619256570935249329e-02
